date,monthly_mean
1994-01-31,-0.002197332221759066
1994-02-28,-0.037230470979821094
1994-03-31,0.004084684453781512
1994-04-29,0.00814792921845376
1994-05-31,-0.010991432974456407
1994-06-30,0.025446824324324324
1994-07-29,0.05410147359562381
1994-08-31,0.00947508276005837
1994-09-30,0.013371053567735264
1994-10-31,-0.027120425399460468
1994-11-30,0.014575199496010079
1994-12-30,0.021204687952320136
1995-01-31,0.04333564697255395
1995-02-28,0.028276112178817633
1995-03-31,0.027264108423686408
1995-04-28,0.026803309165808444
1995-05-31,0.05259782039231712
1995-06-30,0.06119321419975933
1995-07-31,0.033918623580101843
1995-08-31,0.02894544801548887
1995-09-29,-0.022019565485362096
1995-10-31,0.041682044588489495
1995-11-30,0.02254624907353228
1995-12-29,0.01628692666796343
1996-01-31,0.03622330697230181
1996-02-29,0.026136745998475607
1996-03-29,0.06407646573795181
1996-04-30,0.0547936602528862
1996-05-31,-0.023873376276652928
1996-06-28,-0.0637275209344115
1996-07-31,0.055162931539447194
1996-08-30,0.045652884795955216
1996-09-30,0.0016704353386167144
1996-10-31,0.04001578455358773
1996-11-29,0.0246594010106479
1996-12-31,0.04594352635379061
1997-01-31,-0.0008437123674911662
1997-02-28,-0.030906886331192006
1997-03-31,0.0018440918830579264
1997-04-30,0.10744471634083363
1997-05-30,0.05901699381030402
1997-06-30,0.06803312315808623
1997-07-31,0.03280116663651167
1997-08-29,0.08690033731502941
1997-09-30,-0.0165564433532094
1997-10-31,0.001801937112488928
1997-11-28,0.01932485046395432
1997-12-31,0.0010250611242495905
1998-01-30,0.07532220938235827
1998-02-27,0.05589373007573026
1998-03-31,0.02532483121304426
1998-04-30,-0.03082232283464567
1998-05-29,0.004941931166000726
1998-06-30,-0.04031280560192914
1998-07-31,-0.1346357538869928
1998-08-31,0.06233281842266151
1998-09-30,0.05501445923359152
1998-10-30,0.07210875392136891
1998-11-30,0.05247233226130653
1998-12-31,0.030442877542717656
1999-01-29,-0.03540429884600079
1999-02-26,0.01213400739979445
1999-03-31,0.0865869941618015
1999-04-30,0.031098081207916753
1999-05-28,0.05757539801096002
1999-06-30,0.005051909368014631
1999-07-30,-0.015994856910899125
1999-08-31,-0.000744474887709269
1999-09-30,0.02514973309756605
1999-10-29,0.07508773594440935
1999-11-30,0.08476954469216609
1999-12-31,0.011548597062965198
2000-01-31,0.10710263059849386
2000-02-29,0.015896390980392156
2000-03-31,-0.05158650905068382
2000-04-28,-0.023248824132162275
2000-05-31,0.09699143817088879
2000-06-30,0.0006798679889102151
2000-07-31,0.07623307536169294
2000-08-31,-0.0074333152997186755
2000-09-29,-0.019405518107087315
2000-10-31,-0.04741291560693641
2000-11-30,0.07654373486328125
2000-12-29,0.09858073098098098
2001-01-31,-0.03946759595719382
2001-02-28,-0.021333654284299158
2001-03-30,0.09228984615384617
2001-04-30,0.06576326123381569
2001-05-31,0.043470214605067066
2001-06-29,-0.0040556563909774435
2001-07-31,-0.012899435393258427
2001-08-31,-0.077926331685744
2001-09-28,0.06847321548635987
2001-10-31,0.0765728682569802
2001-11-30,0.060691595699495615
2001-12-31,0.01064917433350758
2002-01-31,-0.004449655815174586
2002-02-28,0.08212394438473938
2002-03-28,0.02149064982899237
2002-04-30,-0.005385388933440257
2002-05-31,-0.025267645257452575
2002-06-28,-0.07865031661092531
2002-07-31,0.018242525124889802
2002-08-30,-0.04064930976331361
2002-09-30,0.04580406057810578
2002-10-31,0.0764089414619351
2002-11-29,-0.018675287309048178
2002-12-31,-0.00484885594739988
2003-01-31,-0.010321163259170174
2003-02-28,0.020627736616702353
2003-03-31,0.08529434027565085
2003-04-30,0.09146423728813559
2003-05-30,0.036051296834901624
2003-06-30,0.06423414710002802
2003-07-31,0.04684533765159867
2003-08-29,0.0020381018191691557
2003-09-30,0.0834629623554719
2003-10-31,0.04345399473822678
2003-11-28,0.035914103060423745
2003-12-31,0.04792005885416666
2004-01-30,0.01930011590159777
2004-02-27,0.00992950063500127
2004-03-31,-0.021029615051020408
2004-04-30,0.012113090369222824
2004-05-28,0.034681882703262557
2004-06-30,-0.04172935419926969
2004-07-30,-0.0014186330226364846
2004-08-31,0.04755714442364268
2004-09-30,0.0261773777130757
2004-10-29,0.07871600582781457
2004-11-30,0.04678639173381856
2004-12-31,-0.021999484809474768
2005-01-31,0.018945184607384296
2005-02-28,-0.017064298775722846
2005-03-31,-0.035365905472636815
2005-04-29,0.054648452413049345
2005-05-31,0.036445394561450274
2005-06-30,0.06390547093177595
2005-07-29,-0.004649306069288877
2005-08-31,0.007029911279769694
2005-09-30,-0.018988848761408085
2005-10-31,0.044809658798846054
2005-11-30,0.011095345782188562
2005-12-30,0.0712505633472367
2006-01-31,0.004725646709677419
2006-02-28,0.03962264935732648
2006-03-31,0.011652088122605363
2006-04-28,-0.03370264219712526
2006-05-31,0.001729395849546044
2006-06-30,-0.02216640338983051
2006-07-31,0.02759659790026247
2006-08-31,0.01685398843322818
2006-09-29,0.04998885830704521
2006-10-31,0.030669406038521602
2006-11-30,0.015233098105372437
2006-12-29,0.021207927442342577
2007-01-31,0.0027484807344194465
2007-02-28,0.01056729919626653
2007-03-30,0.027069759427828348
2007-04-30,0.03479951130751235
2007-05-31,-0.0030850309895833336
2007-06-29,-0.0443812695016958
2007-07-31,0.006816042074622916
2007-08-31,0.019214123863028357
2007-09-28,0.02010899597207304
2007-10-31,-0.05764333750680457
2007-11-30,-0.002593062828674232
2007-12-31,-0.04007046051537822
2008-01-31,-0.022510873167981962
2008-02-29,-0.0018223983438035408
2008-03-31,0.03866666618160652
2008-04-30,0.03976410504814707
2008-05-30,-0.0725862881455399
2008-06-30,0.02907784594430993
2008-07-31,0.04082626652452026
2008-08-29,-0.057936691316354705
2008-09-30,-0.1271112120822622
2008-10-31,-0.04533660911356354
2008-11-28,0.0572017416988417
2008-12-31,-0.051708377488514555
2009-01-30,-0.05567013968253968
2009-02-27,0.09522969771380187
2009-03-31,0.1561951131073908
2009-04-30,0.05515733762788935
2009-05-29,0.028312079499447917
2009-06-30,0.08873800182016746
2009-07-31,0.032204175195451316
2009-08-31,0.05931463205574913
2009-09-30,-0.038885754069968824
2009-10-30,0.03827840206185567
2009-11-30,0.07095413842311808
2009-12-31,-0.01915378221288515
2010-01-29,0.04726907147838215
2010-02-26,0.07699395614640885
2010-03-31,0.05774700268546492
2010-04-30,-0.05874265231679264
2010-05-28,-0.051322913308499835
2010-06-30,0.0663590513986014
2010-07-30,-0.05198774730996182
2010-08-31,0.11298188734896944
2010-09-30,0.044018715124309396
2010-10-29,0.03670093574846207
2010-11-30,0.08009775385142075
2010-12-31,0.009683415549597856
2011-01-31,0.04937506978297162
2011-02-28,0.0265654127248501
2011-03-31,0.025657431536658858
2011-04-29,-0.010479876510067114
2011-05-31,-0.010568482408660353
2011-06-30,-0.02535054458161866
2011-07-29,-0.06882569108500346
2011-08-31,-0.0813735645390071
2011-09-30,0.13702488445921004
2011-10-31,0.00259849693914296
2011-11-30,0.009888927973808657
2011-12-30,0.07397442065217391
2012-01-31,0.03620424804826118
2012-02-29,0.03159944389555399
2012-03-30,-0.005931248773651016
2012-04-30,-0.051961281898066786
2012-05-31,0.046942411258515594
2012-06-29,-0.001186282616423747
2012-07-31,0.03472337990637379
2012-08-31,0.035837481071428576
2012-09-28,-0.007372381256656017
2012-10-31,0.013854237907560015
2012-11-30,0.03393599318752241
2012-12-31,0.0640278526769673
2013-01-31,0.019644918842625265
2013-02-28,0.04979637132743363
2013-03-28,0.003524174050632911
2013-04-30,0.04805479733520336
2013-05-31,0.00994388
2013-06-28,0.06894336501901141
2013-07-31,-0.01819752021746517
2013-08-30,0.0658868457609806
2013-09-30,0.03654300168861871
2013-10-31,0.04308239001349527
2013-11-29,0.03016512437311936
2013-12-31,-0.016562670856764803
2014-01-31,0.05467303367448002
2014-02-28,0.008850230971128609
2014-03-31,-0.02600201571194763
2014-04-30,0.014178159262915433
2014-05-30,0.05173607469562356
2014-06-30,-0.0436635091443501
2014-07-31,0.04859153836065574
2014-08-29,-0.03530822366288493
2014-09-30,0.04962475450081833
2014-10-31,0.01133471649654264
2014-11-28,0.02811536378573776
2014-12-31,-0.030816302575806975
2015-01-30,0.06446113509977101
2015-02-27,0.014118978452497552
2015-03-31,-0.005156454278249511
2015-04-30,0.019661334640522877
2015-05-29,0.009560295885042456
2015-06-30,-0.00349154530531845
2015-07-31,-0.04412777589641434
2015-08-31,-0.037593866952789705
2015-09-30,0.0585176484295846
2015-10-30,0.03279051814516129
2015-11-30,-0.03072301040967092
2015-12-31,-0.07297845898305085
2016-01-29,0.01051402722513089
2016-02-29,0.07706000035186489
2016-03-31,0.032342481096080476
2016-04-29,0.018818567024593003
2016-05-31,-0.0009078288194444442
2016-06-30,0.05734267244367417
2016-07-29,0.023919290946786454
2016-08-31,0.022719397524071528
2016-09-30,-0.029898783054321833
2016-10-31,0.10779986137234414
2016-11-30,0.032708112680909715
2016-12-30,0.012498564766839379
2017-01-31,0.02356574766031196
2017-02-28,0.012194117320374868
2017-03-31,0.017645093760892298
2017-04-28,-0.006791538300104931
2017-05-31,0.03476748683748684
2017-06-30,0.01440878991304348
2017-07-31,-0.004039204545454546
2017-08-31,0.0661022145620823
2017-09-29,0.013363896358543417
2017-10-31,0.036610693617021274
2017-11-30,0.011934064584064583
2017-12-29,0.032962478397212544
2018-01-31,-0.027972512491325468
2018-02-28,0.01891468270571827
2018-03-29,0.018254296973961998
2018-04-30,0.05243652699407871
2018-05-31,0.023401542127071823
2018-06-29,0.01715359626685102
2018-07-31,0.04355869378647443
2018-08-31,-0.008962988744884038
2018-09-28,-0.08663521237113402
2018-10-31,0.015573692307692307
2018-11-30,-0.09112426685492411
2018-12-31,0.11333723814733772
2019-01-31,0.0565899155682223
2019-02-28,-0.010104926924441291
2019-03-29,0.03661125522123894
2019-04-30,-0.056660737177219665
2019-05-31,0.07265932315978456
2019-06-28,0.0076743730385164044
2019-07-31,-0.03273986355539722
2019-08-30,0.029887206996033176
2019-09-30,0.020404868373602596
2019-10-31,0.05499073781148429
2019-11-29,0.045300909453096706
2019-12-31,-0.018866558030901905
2020-01-31,-0.05882670492983087
2020-02-28,-0.15961589306569343
2020-03-31,0.15113159713067081
2020-04-30,0.07391435050391938
2020-05-29,0.04441495330882353
2020-06-30,0.03031549709090909
2020-07-31,0.0629683456967951
2020-08-31,-0.013473254777070063
2020-09-30,0.026233173158640228
2020-10-30,0.18109823545999296
2020-11-30,0.08614289575676579
2020-12-31,0.05490368954248366
2021-01-29,0.07529248789688778
2021-02-26,0.02659278501228501
2021-03-31,0.025755574266503666
2021-04-30,0.017192175663584847
2021-05-28,0.01879836561954625
2021-06-30,-0.024258541499713796
2021-07-30,0.027068207271686233
2021-08-31,-0.020678191542985155
2021-09-30,0.03056930912162162
2021-10-29,-0.032219586606385985
2021-11-30,0.02635032303290415
2021-12-31,-0.062486206399538766
2022-01-31,0.010517918397192162
2022-02-28,0.017808263343108505
2022-03-31,-0.06727288993803482
2022-04-29,0.008233800423344421
2022-05-31,-0.047861302667893284
2022-06-30,0.08798106597222222
2022-07-29,-0.0032821622629779297
2022-08-31,-0.06743824633613969
2022-09-30,0.0903103596660244
2022-10-31,0.038758770218228496
2022-11-30,-0.03137374164737016
2022-12-30,0.09439443358982938
2023-01-31,-0.011601684019769359
2023-02-28,-0.021220385594639866
2023-03-31,-0.01344460963114754
2023-04-28,-0.004055052179883282
2023-05-31,0.07638262379642366
2023-06-30,0.055783603489565514
2023-07-31,-0.030702951403148528
2023-08-31,-0.04349261388888889
2023-09-29,-0.04234828667611623
2023-10-31,0.09589202034144569
2023-11-30,0.11404878643578643
2023-12-29,-0.009553803824362607
2024-01-31,0.04912684618142703
2024-02-29,0.039696034062387954
2024-03-28,-0.05090407584973167
2024-04-30,0.047177921303074674
2024-05-31,-0.007829792122538294
2024-06-28,0.08849643083149375
2024-07-31,-0.0011455291970802921
2024-08-30,0.01538394195444526
2024-09-30,0.0034258421246772413
2024-10-31,0.1034856851646319
2024-11-29,-0.05938594378257633
2024-12-31,
